Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_5,MA_10
2020-09-28 00:00:00-04:00,202.19711725030345,203.81753461508967,199.49322243628995,200.81640625,32004900,0.0,0.0,,
2020-09-29 00:00:00-04:00,200.73010675192677,201.4204622220947,198.29468200146903,198.7261505126953,24221900,0.0,0.0,,
2020-09-30 00:00:00-04:00,199.1768020632968,203.25181013232543,198.0357974630864,201.6697540283203,33829100,0.0,0.0,,
2020-10-01 00:00:00-04:00,204.6996097199135,205.1790223492004,202.6189606644697,203.71202087402344,27158400,0.0,0.0,,
2020-10-02 00:00:00-04:00,199.43566680293185,202.3025597802088,197.07695007543285,197.7001953125,33154800,0.0,0.0,200.5249053955078,
2020-10-05 00:00:00-04:00,198.68777523679577,201.74643021386964,198.4576519031385,201.71766662597656,21331600,0.0,0.0,200.7051574707031,
2020-10-06 00:00:00-04:00,200.22190199510823,201.5258903306347,196.3866008750534,197.4317169189453,28554300,0.0,0.0,200.44627075195314,
2020-10-07 00:00:00-04:00,198.5343876446166,201.4588080799235,198.20839051556985,201.1903381347656,25681100,0.0,0.0,200.3503875732422,
2020-10-08 00:00:00-04:00,201.84232954510333,202.4943384245125,199.7425142102119,201.90945434570312,19925800,0.0,0.0,199.98987426757813,
2020-10-09 00:00:00-04:00,202.5326658550179,206.9720317159505,202.5326658550179,206.9240875244141,26458000,0.0,0.0,201.83465270996095,201.17977905273438
2020-10-12 00:00:00-04:00,209.78140069312863,214.64265244429112,207.882930516998,212.283935546875,40461400,0.0,0.0,203.94790649414062,202.32653198242187
2020-10-13 00:00:00-04:00,213.5496334128117,215.9371143635421,211.35391465113807,213.68386840820312,28950800,0.0,0.0,207.19833679199218,203.82230377197266
2020-10-14 00:00:00-04:00,213.81807545397243,214.9878436739825,210.107425642433,211.7661895751953,23421700,0.0,0.0,209.31350708007812,204.83194732666016
2020-10-15 00:00:00-04:00,208.16097962773364,211.2867448559503,207.1158489257923,210.61557006835935,22733100,0.0,0.0,211.0547302246094,205.52230224609374
2020-10-16 00:00:00-04:00,211.08538510441647,213.1372706724877,210.2895729758885,210.61557006835935,26057900,0.0,0.0,211.79302673339845,206.8138397216797
2020-10-19 00:00:00-04:00,211.3442965658429,213.14689303076904,204.92016920089208,205.3995819091797,27625800,0.0,0.0,210.41615600585936,207.18203125
2020-10-20 00:00:00-04:00,206.91451708098484,208.41986529898944,204.3160938995377,205.81185913085935,22753500,0.0,0.0,208.8417541503906,208.0200454711914
2020-10-21 00:00:00-04:00,204.34483913835183,207.9883781310668,204.34483913835183,205.95567321777344,22724900,0.0,0.0,207.67965087890624,208.4965789794922
2020-10-22 00:00:00-04:00,205.12151335460692,207.16381616381312,202.9833367825152,206.0419921875,22351500,0.0,0.0,206.7649353027344,208.9098327636719
2020-10-23 00:00:00-04:00,206.17621001281267,207.37474167806437,204.38321132336048,207.3267974853516,18879600,0.0,0.0,206.1071807861328,208.95010375976562
2020-10-26 00:00:00-04:00,205.04482977945148,207.4322958032438,199.5315834031052,201.4300537109375,37111600,0.0,0.0,205.3132751464844,207.86471557617188
2020-10-27 00:00:00-04:00,202.87785929223529,205.8310432277493,201.6697445765535,204.46951293945312,36700300,0.0,0.0,205.04480590820313,206.9432800292969
2020-10-28 00:00:00-04:00,199.11929187560776,200.2411159664744,193.7786413935924,194.33474731445312,51195600,0.0,0.0,202.72062072753906,205.20013580322265
2020-10-29 00:00:00-04:00,195.66749508625168,198.8220240324159,194.9963056406513,196.2907257080078,31432600,0.0,0.0,200.77036743164064,203.7676513671875
2020-10-30 00:00:00-04:00,195.1209967251671,195.8784624617589,191.4007489608777,194.13340759277344,36953700,0.0,0.0,198.131689453125,202.11943511962892
2020-11-02 00:00:00-05:00,195.87843510424747,196.8276775200225,191.88013493015848,193.9991455078125,30842200,0.0,0.0,196.6455078125,200.9793914794922
2020-11-03 00:00:00-05:00,195.49491819127329,199.55074570208876,194.7566185066281,197.93032836914065,27512000,0.0,0.0,195.33767089843752,200.1912384033203
2020-11-04 00:00:00-05:00,205.20785840222203,209.3308113961436,203.67373159454783,207.4802703857422,42311800,0.0,0.0,197.9667755126953,200.34369812011718
2020-11-05 00:00:00-05:00,212.8975985469608,214.8919572579799,212.04424447339872,214.09613037109372,36080100,0.0,0.0,201.5278564453125,201.14911193847655
2020-11-06 00:00:00-05:00,213.1085464685072,215.12208583391663,209.05271877417096,214.5084381103516,25231900,0.0,0.0,205.6028625488281,201.86727600097657
2020-11-09 00:00:00-05:00,215.1987693658837,218.72723972094147,208.9088772508579,209.3978729248047,44395000,0.0,0.0,208.68260803222657,202.66405792236327
2020-11-10 00:00:00-05:00,205.6680838349031,207.5857349662309,201.0848988014711,202.32177734375,44045100,0.0,0.0,209.56089782714844,202.44928436279298
2020-11-11 00:00:00-05:00,203.6449493616537,209.06230763770108,203.46277017398023,207.6336669921875,29440800,0.0,0.0,209.5915771484375,203.7791763305664
2020-11-12 00:00:00-05:00,208.26646090512637,210.08822321961955,205.62969119016765,206.5693359375,21593900,0.0,0.0,208.08621826171876,204.80703735351562
2020-11-13 00:00:00-05:00,207.45150367006715,208.46785644690453,205.34209031410987,207.59532165527344,18621100,0.0,0.0,206.70359497070314,206.15322875976562
2020-11-16 00:00:00-05:00,206.0228159261353,208.77465486518045,205.68723580318888,208.28564453125,24953300,0.0,0.0,206.48114929199218,207.58187866210938
2020-11-17 00:00:00-05:00,207.20218813788108,208.71711949260344,205.26535660858767,205.6297149658203,24154100,0.0,0.0,207.14273681640626,208.35181732177733
2020-11-18 00:00:00-05:00,205.3893721380284,206.850606549854,202.77453778794847,202.9187469482422,28372800,0.56,0.0,206.1997528076172,207.89566497802736
2020-11-19 00:00:00-05:00,203.20714178040055,204.7933397930536,201.81319330215703,204.20692443847656,24792700,0.0,0.0,205.7272705078125,206.90674438476563
2020-11-20 00:00:00-05:00,203.9954629162187,205.04331546439388,201.88052699574175,202.2554473876953,22843100,0.0,0.0,204.65929565429687,205.6814453125
2020-11-23 00:00:00-05:00,202.793739688208,204.08192585772957,200.11161984755836,201.98622131347656,25683500,0.0,0.0,203.3994110107422,204.94028015136718
2020-11-24 00:00:00-05:00,201.48634012873157,205.966167884209,200.7845691949016,205.59124755859372,33979700,0.0,0.0,203.39171752929687,205.26722717285156
2020-11-25 00:00:00-05:00,206.79296818121367,206.9660016039745,204.2454338873119,205.6009063720703,21012900,0.0,0.0,203.9281494140625,205.06395111083984
2020-11-27 00:00:00-05:00,206.54299705815237,207.9080920979437,205.76430275885053,206.9082946777344,14512200,0.0,0.0,204.46842346191406,205.09784698486328
2020-11-30 00:00:00-05:00,205.82196023272223,206.45643058783557,202.6879967520564,205.79312133789065,33064800,0.0,0.0,205.17595825195312,204.917626953125
2020-12-01 00:00:00-05:00,206.21610523136007,208.91747073268837,205.10096702441447,207.8503875732422,30904500,0.0,0.0,206.34879150390626,204.8741012573242
2020-12-02 00:00:00-05:00,206.57180161644624,207.13898610870103,204.5722217772667,207.0428466796875,23724500,0.0,0.0,206.639111328125,205.01541442871093
2020-12-03 00:00:00-05:00,206.31223244455936,208.01380055345115,205.389343819908,205.95654296875,25120900,0.0,0.0,206.71023864746093,205.3191940307617
