Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-28 00:00:00-04:00,202.19711725030342,203.81753461508967,199.49322243628995,200.81640625,32004900,0.0,0.0
2020-09-29 00:00:00-04:00,200.73010675192674,201.4204622220947,198.29468200146903,198.7261505126953,24221900,0.0,0.0
2020-09-30 00:00:00-04:00,199.17680206329678,203.25181013232546,198.03579746308637,201.6697540283203,33829100,0.0,0.0
2020-10-01 00:00:00-04:00,204.6996097199135,205.1790223492004,202.61896066446974,203.71202087402344,27158400,0.0,0.0
2020-10-02 00:00:00-04:00,199.43566680293182,202.30255978020878,197.07695007543285,197.7001953125,33154800,0.0,0.0
2020-10-05 00:00:00-04:00,198.68777523679577,201.74643021386964,198.4576519031385,201.71766662597656,21331600,0.0,0.0
2020-10-06 00:00:00-04:00,200.22190199510823,201.5258903306347,196.3866008750534,197.4317169189453,28554300,0.0,0.0
2020-10-07 00:00:00-04:00,198.5343876446166,201.4588080799235,198.20839051556985,201.19033813476562,25681100,0.0,0.0
2020-10-08 00:00:00-04:00,201.84232954510335,202.4943384245125,199.7425142102119,201.90945434570312,19925800,0.0,0.0
2020-10-09 00:00:00-04:00,202.5326658550179,206.97203171595046,202.5326658550179,206.92408752441406,26458000,0.0,0.0
2020-10-12 00:00:00-04:00,209.78140069312866,214.64265244429112,207.882930516998,212.283935546875,40461400,0.0,0.0
2020-10-13 00:00:00-04:00,213.5496334128117,215.93711436354207,211.35391465113807,213.68386840820312,28950800,0.0,0.0
2020-10-14 00:00:00-04:00,213.81807545397245,214.9878436739825,210.107425642433,211.7661895751953,23421700,0.0,0.0
2020-10-15 00:00:00-04:00,208.16097962773364,211.2867448559503,207.1158489257923,210.61557006835938,22733100,0.0,0.0
2020-10-16 00:00:00-04:00,211.08538510441647,213.1372706724877,210.2895729758885,210.61557006835938,26057900,0.0,0.0
2020-10-19 00:00:00-04:00,211.34429656584294,213.14689303076904,204.92016920089208,205.3995819091797,27625800,0.0,0.0
2020-10-20 00:00:00-04:00,206.91451708098484,208.41986529898946,204.31609389953766,205.81185913085938,22753500,0.0,0.0
2020-10-21 00:00:00-04:00,204.34483913835186,207.9883781310668,204.34483913835186,205.95567321777344,22724900,0.0,0.0
2020-10-22 00:00:00-04:00,205.12151335460695,207.16381616381312,202.98333678251518,206.0419921875,22351500,0.0,0.0
2020-10-23 00:00:00-04:00,206.17621001281267,207.37474167806434,204.38321132336048,207.32679748535156,18879600,0.0,0.0
2020-10-26 00:00:00-04:00,205.04482977945148,207.4322958032438,199.53158340310517,201.4300537109375,37111600,0.0,0.0
2020-10-27 00:00:00-04:00,202.87785929223526,205.83104322774932,201.6697445765535,204.46951293945312,36700300,0.0,0.0
2020-10-28 00:00:00-04:00,199.11929187560776,200.24111596647438,193.77864139359238,194.33474731445312,51195600,0.0,0.0
2020-10-29 00:00:00-04:00,195.66749508625168,198.8220240324159,194.99630564065131,196.2907257080078,31432600,0.0,0.0
2020-10-30 00:00:00-04:00,195.1209967251671,195.87846246175886,191.4007489608777,194.13340759277344,36953700,0.0,0.0
2020-11-02 00:00:00-05:00,195.87843510424747,196.82767752002246,191.88013493015848,193.9991455078125,30842200,0.0,0.0
2020-11-03 00:00:00-05:00,195.49491819127326,199.55074570208873,194.7566185066281,197.93032836914062,27512000,0.0,0.0
2020-11-04 00:00:00-05:00,205.20785840222203,209.33081139614356,203.67373159454786,207.4802703857422,42311800,0.0,0.0
2020-11-05 00:00:00-05:00,212.89759854696078,214.8919572579799,212.04424447339872,214.09613037109375,36080100,0.0,0.0
2020-11-06 00:00:00-05:00,213.1085464685072,215.12208583391666,209.05271877417096,214.50843811035156,25231900,0.0,0.0
2020-11-09 00:00:00-05:00,215.19876936588372,218.72723972094147,208.9088772508579,209.3978729248047,44395000,0.0,0.0
2020-11-10 00:00:00-05:00,205.6680838349031,207.58573496623086,201.0848988014711,202.32177734375,44045100,0.0,0.0
2020-11-11 00:00:00-05:00,203.6449493616537,209.06230763770108,203.46277017398026,207.6336669921875,29440800,0.0,0.0
2020-11-12 00:00:00-05:00,208.26646090512634,210.08822321961955,205.62969119016765,206.5693359375,21593900,0.0,0.0
2020-11-13 00:00:00-05:00,207.45150367006715,208.46785644690453,205.34209031410987,207.59532165527344,18621100,0.0,0.0
2020-11-16 00:00:00-05:00,206.0228159261353,208.77465486518045,205.68723580318886,208.28564453125,24953300,0.0,0.0
2020-11-17 00:00:00-05:00,207.20218813788108,208.71711949260344,205.26535660858772,205.6297149658203,24154100,0.0,0.0
2020-11-18 00:00:00-05:00,205.38937213802836,206.85060654985398,202.77453778794847,202.9187469482422,28372800,0.56,0.0
2020-11-19 00:00:00-05:00,203.20714178040058,204.79333979305358,201.81319330215703,204.20692443847656,24792700,0.0,0.0
2020-11-20 00:00:00-05:00,203.9954629162187,205.04331546439388,201.88052699574177,202.2554473876953,22843100,0.0,0.0
2020-11-23 00:00:00-05:00,202.79373968820798,204.08192585772954,200.11161984755833,201.98622131347656,25683500,0.0,0.0
2020-11-24 00:00:00-05:00,201.48634012873154,205.966167884209,200.7845691949016,205.59124755859375,33979700,0.0,0.0
2020-11-25 00:00:00-05:00,206.79296818121367,206.96600160397446,204.2454338873119,205.6009063720703,21012900,0.0,0.0
2020-11-27 00:00:00-05:00,206.54299705815234,207.9080920979437,205.76430275885053,206.90829467773438,14512200,0.0,0.0
2020-11-30 00:00:00-05:00,205.82196023272226,206.45643058783554,202.68799675205642,205.79312133789062,33064800,0.0,0.0
2020-12-01 00:00:00-05:00,206.21610523136007,208.91747073268834,205.10096702441447,207.8503875732422,30904500,0.0,0.0
2020-12-02 00:00:00-05:00,206.57180161644624,207.13898610870106,204.5722217772667,207.0428466796875,23724500,0.0,0.0
2020-12-03 00:00:00-05:00,206.31223244455936,208.01380055345115,205.38934381990802,205.95654296875,25120900,0.0,0.0
2020-12-04 00:00:00-05:00,205.93729776824554,207.0524505000857,204.93750060562468,206.07188415527344,24666000,0.0,0.0
2020-12-07 00:00:00-05:00,206.08151676587187,207.20627770612253,204.7548835554524,206.00460815429688,24620000,0.0,0.0
2020-12-08 00:00:00-05:00,205.69699327130186,208.5617694437516,204.6587489935617,207.65811157226562,23284100,0.0,0.0
2020-12-09 00:00:00-05:00,206.84097386421712,206.90825972929352,203.04370112937298,203.6108856201172,32440600,0.0,0.0
2020-12-10 00:00:00-05:00,203.58205592220745,204.84140328420904,202.2265691271052,202.38038635253906,26733300,0.0,0.0
2020-12-11 00:00:00-05:00,201.9285556018802,205.07212727508463,201.02489774661876,205.01443481445312,30979400,0.0,0.0
2020-12-14 00:00:00-05:00,204.8606607801778,207.85041564557133,204.64916573487125,205.91812133789062,28798400,0.0,0.0
2020-12-15 00:00:00-05:00,206.850597476952,207.0909313980809,204.0338909623543,205.85081481933594,27000600,0.0,0.0
2020-12-16 00:00:00-05:00,206.44686205659363,211.59962250655175,206.418023156238,210.8017120361328,35023300,0.0,0.0
2020-12-17 00:00:00-05:00,211.36887743172719,212.34944396119258,209.49427573482185,210.936279296875,32515800,0.0,0.0
2020-12-18 00:00:00-05:00,210.1383819580078,211.19585717009113,207.6677566626054,210.1383819580078,63354900,0.0,0.0
2020-12-21 00:00:00-05:00,209.13860810945437,215.33922114159793,208.87904333384435,213.98373413085938,37181900,0.0,0.0
2020-12-22 00:00:00-05:00,214.07985500164784,216.9061843808769,213.27233651295927,215.28152465820312,22612200,0.0,0.0
2020-12-23 00:00:00-05:00,214.48361441637113,214.91621255931088,212.26293123630398,212.47442626953125,18699600,0.0,0.0
2020-12-24 00:00:00-05:00,212.85893405514418,214.96426143799516,212.64743904242195,214.13751220703125,10550600,0.0,0.0
2020-12-28 00:00:00-05:00,215.77174869458827,217.2906605353665,214.3970459791994,216.2620391845703,17933500,0.0,0.0
2020-12-29 00:00:00-05:00,217.5598563272588,218.39621360154018,214.93541425812904,215.48336791992188,17403200,0.0,0.0
2020-12-30 00:00:00-05:00,216.52163131999487,216.90617439367813,212.90701444028235,213.10888671875,20272300,0.0,0.0
2020-12-31 00:00:00-05:00,213.12810390410456,214.37784314318708,211.18620184549383,213.8202667236328,20942100,0.0,0.0
2021-01-04 00:00:00-05:00,213.9260239305633,214.37785286571398,206.50451143811924,209.27316284179688,37130100,0.0,0.0
2021-01-05 00:00:00-05:00,208.85978237905934,210.07107471127767,207.36010108090161,209.47503662109375,23823000,0.0,0.0
2021-01-06 00:00:00-05:00,203.96656368510168,208.1195403388213,203.745460613917,204.04347229003906,35930700,0.0,0.0
2021-01-07 00:00:00-05:00,205.76426870218953,210.8593503984707,205.44704085761094,209.84994506835938,27694500,0.0,0.0
2021-01-08 00:00:00-05:00,210.22488214133165,212.05142875790764,208.63868411663802,211.1285400390625,22956200,0.0,0.0
2021-01-11 00:00:00-05:00,210.0230222852734,210.4460123619004,208.3502928010175,209.08091735839844,23031300,0.0,0.0
2021-01-12 00:00:00-05:00,208.12916175268282,208.70596899227266,205.072121521782,206.61985778808594,23249300,0.0,0.0
2021-01-13 00:00:00-05:00,205.74506591051468,208.37911628016133,205.65853455119372,207.97535705566406,20087100,0.0,0.0
2021-01-14 00:00:00-05:00,207.5619967995437,209.05207008476174,204.5145643571503,204.7837371826172,29480800,0.0,0.0
2021-01-15 00:00:00-05:00,205.26439629941862,206.21610922436778,203.83200087080638,204.4280242919922,31746500,0.0,0.0
2021-01-19 00:00:00-05:00,205.4854771494631,208.59058691911966,204.4087860099995,208.07147216796875,30480900,0.0,0.0
2021-01-20 00:00:00-05:00,209.28277771906542,217.05997996557417,208.88862656387894,215.66604614257812,37777300,0.0,0.0
2021-01-21 00:00:00-05:00,216.01211800602644,217.55026091629355,213.82027389362747,216.2716827392578,30709400,0.0,0.0
2021-01-22 00:00:00-05:00,218.30010489062968,221.17450381399632,217.06959641111914,217.2137908935547,30172700,0.0,0.0
2021-01-25 00:00:00-05:00,220.2612290947195,220.89571417206457,215.55069007064066,220.65538024902344,33152100,0.0,0.0
2021-01-26 00:00:00-05:00,222.89530847335894,225.12559979449426,221.1841320050196,223.34713745117188,49169600,0.0,0.0
2021-01-27 00:00:00-05:00,228.79788295270222,231.14354426779957,221.2417842146544,223.8950653076172,69870600,0.0,0.0
2021-01-28 00:00:00-05:00,226.5002982458668,233.25848684590053,226.0003995892036,229.69192504882812,49111200,0.0,0.0
2021-01-29 00:00:00-05:00,226.8656060692636,228.8171162716666,222.40500922536845,222.99142456054688,42503100,0.0,0.0
2021-02-01 00:00:00-05:00,225.97153697036592,233.12387596555698,223.44321972463564,230.38406372070312,33314200,0.0,0.0
2021-02-02 00:00:00-05:00,231.9703108623903,232.94125465334326,229.46122406057862,230.24951171875,25916300,0.0,0.0
2021-02-03 00:00:00-05:00,230.30716407808396,235.61372573695,230.00913773665354,233.6045379638672,27158100,0.0,0.0
2021-02-04 00:00:00-05:00,233.2777089960579,233.83528542530067,231.07624217466682,232.65283203125,25296100,0.0,0.0
2021-02-05 00:00:00-05:00,232.8643338915451,233.8737392729773,231.1243186859083,232.8354949951172,18054800,0.0,0.0
2021-02-08 00:00:00-05:00,233.74876347372876,234.258270207897,231.4992415150819,233.09506225585938,22211900,0.0,0.0
2021-02-09 00:00:00-05:00,232.518256262877,235.29651579174603,232.04721116764924,234.3448028564453,23565000,0.0,0.0
2021-02-10 00:00:00-05:00,235.52723852750492,236.4116655813092,231.57614834749486,233.43153381347656,22186700,0.0,0.0
2021-02-11 00:00:00-05:00,235.31572239258884,235.67141186361138,232.7874051200119,235.0369415283203,15751100,0.0,0.0
2021-02-12 00:00:00-05:00,234.49862618593036,235.81566615917376,233.34502620134742,235.5176544189453,16561100,0.0,0.0
2021-02-16 00:00:00-05:00,235.5560591780429,236.6135341978641,233.5276404900709,234.27748107910156,26728500,0.0,0.0
2021-02-17 00:00:00-05:00,232.5238602901919,235.40486497453526,232.15770663695596,235.2988739013672,21653500,0.56,0.0
2021-02-18 00:00:00-05:00,232.98633869109634,235.0386897154469,232.08059954957508,234.90379333496094,16925600,0.0,0.0
2021-02-19 00:00:00-05:00,234.86526703672254,234.97125810430992,231.4253871453351,232.1865997314453,25262600,0.0,0.0
2021-02-22 00:00:00-05:00,228.76600020057145,229.2574053237831,223.92897590919952,225.96206665039062,36446900,0.0,0.0
2021-02-23 00:00:00-05:00,221.9344340967485,226.27040833152452,220.3927484877867,224.76727294921875,30228700,0.0,0.0
2021-02-24 00:00:00-05:00,221.62607102742007,226.62689654449298,220.65289108022142,226.00059509277344,26339700,0.0,0.0
2021-02-25 00:00:00-05:00,223.6206609287914,226.03916586725174,219.57375431876594,220.64329528808594,39542200,0.0,0.0
2021-02-26 00:00:00-05:00,223.09067530726543,226.79070286617392,221.17320598719547,223.90969848632812,37819200,0.0,0.0
2021-03-01 00:00:00-05:00,227.30139726551226,228.8141775442121,224.65163525341808,228.30349731445312,25324000,0.0,0.0
2021-03-02 00:00:00-05:00,228.37092841617996,228.65036608626744,224.94069354651947,225.3453826904297,22812500,0.0,0.0
2021-03-03 00:00:00-05:00,223.69768449842758,225.06592320179783,218.97628251373825,219.26535034179688,34029500,0.0,0.0
2021-03-04 00:00:00-05:00,218.47526685502132,224.01567769555226,216.08565298488423,218.4656219482422,44727800,0.0,0.0
2021-03-05 00:00:00-05:00,221.15395671882018,224.7672685097658,218.20549664982508,223.15814208984375,41872800,0.0,0.0
2021-03-08 00:00:00-05:00,222.93653271094007,224.86363248546377,218.8510905986167,219.1016082763672,35267400,0.0,0.0
2021-03-09 00:00:00-05:00,224.39147806891881,226.80035252533506,223.22557636286808,225.2586669921875,33080500,0.0,0.0
2021-03-10 00:00:00-05:00,228.36131758416906,228.36131758416906,223.58210379343052,223.94825744628906,29746800,0.0,0.0
2021-03-11 00:00:00-05:00,226.39567093202942,230.45220741847595,225.7693547309097,228.486572265625,29907600,0.0,0.0
2021-03-12 00:00:00-05:00,225.48030873585378,227.22434641996819,224.7287409836298,227.15689086914062,22653700,0.0,0.0
2021-03-15 00:00:00-04:00,226.3956399067722,226.61725221705547,223.3604495848346,226.2510986328125,26034900,0.0,0.0
