Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_5,MA_10
2020-09-28 00:00:00-04:00,111.87227777517528,112.17381792247087,109.70311378636896,111.82363891601562,137672400,0.0,0.0,,
2020-09-29 00:00:00-04:00,111.42483559860968,112.16409584063496,110.47156881534237,110.97737884521484,99382200,0.0,0.0,,
2020-09-30 00:00:00-04:00,110.6855573752124,114.0608892683136,110.52019713326597,112.65044403076172,142675200,0.0,0.0,,
2020-10-01 00:00:00-04:00,114.430522644009,114.50834184995564,112.66990578164196,113.6037139892578,116120400,0.0,0.0,,
2020-10-02 00:00:00-04:00,109.81013380502144,112.22247769672272,109.15841452980855,109.93658447265624,144712000,0.0,0.0,111.79835205078125,
2020-10-05 00:00:00-04:00,110.80228919258478,113.46753391146844,110.4521101876222,113.32162475585938,106243800,0.0,0.0,112.09794921875,
2020-10-06 00:00:00-04:00,112.54345848013617,112.9520056398048,109.18758468115252,110.07276153564452,161498200,0.0,0.0,111.91702575683594,
2020-10-07 00:00:00-04:00,111.49291934511136,112.39754721573829,111.01628226939263,111.94036865234376,96849000,0.0,0.0,111.77501068115234,
2020-10-08 00:00:00-04:00,113.07844398775582,113.224353141667,111.46372888130158,111.83336639404295,83477200,0.0,0.0,111.42094116210937,
2020-10-09 00:00:00-04:00,112.13491304534423,113.80798894197645,111.7847340241306,113.77880859375,100506900,0.0,0.0,112.18938598632812,111.99386901855469
2020-10-12 00:00:00-04:00,116.78451149876966,121.76482993780782,116.02579270598136,121.00611114501952,240226800,0.0,0.0,113.72628326416016,112.91211624145508
2020-10-13 00:00:00-04:00,121.85235887523848,121.96908768608208,116.38568943923732,117.79612731933594,262330500,0.0,0.0,115.27095642089844,113.59399108886718
2020-10-14 00:00:00-04:00,117.6988482441124,119.67346409750246,116.35650041512618,117.8836669921875,150712000,0.0,0.0,116.4596160888672,114.11731338500977
2020-10-15 00:00:00-04:00,115.48104948176436,117.8933852834975,114.92660067544894,117.41675567626952,112559200,0.0,0.0,117.5762939453125,114.49861755371094
2020-10-16 00:00:00-04:00,117.97120952549623,118.23384747833158,115.56859545500912,115.77286529541016,115393800,0.0,0.0,117.97510528564453,115.08224563598633
2020-10-19 00:00:00-04:00,116.68721586654202,117.1346651236104,112.50453415677372,112.81580352783205,120639300,0.0,0.0,116.33704376220703,115.03166351318359
2020-10-20 00:00:00-04:00,113.02980416838348,115.73396585696943,112.4753553252332,114.30406951904295,124423700,0.0,0.0,115.63863220214844,115.45479431152344
2020-10-21 00:00:00-04:00,113.48697818121386,115.47132328298426,113.27297908868262,113.68152618408205,89946000,0.0,0.0,114.79820404052734,115.62891006469727
2020-10-22 00:00:00-04:00,114.24568862177946,114.819595912401,111.46371546147095,112.59207153320312,101988000,0.0,0.0,113.83326721191406,115.70478057861328
2020-10-23 00:00:00-04:00,113.21463402999636,113.37027245377988,111.16219869915412,111.9014663696289,82572600,0.0,0.0,113.05898742675781,115.51704635620118
2020-10-26 00:00:00-04:00,110.89955881245989,113.37026292295224,109.80038294532773,111.91118621826172,111850700,0.0,0.0,112.87806396484375,114.6075538635254
2020-10-27 00:00:00-04:00,112.33918213169002,114.08034796929373,111.415103145049,113.4188995361328,92276800,0.0,0.0,112.70102996826172,114.16983108520508
2020-10-28 00:00:00-04:00,111.91119126662696,112.28082137684017,108.06895131820131,108.16622161865234,143937800,0.0,0.0,111.59796905517578,113.19808654785156
2020-10-29 00:00:00-04:00,109.30430584931332,113.73989680449657,109.13893817712592,112.17382049560548,146129200,0.0,0.0,111.51431884765626,112.67379302978516
2020-10-30 00:00:00-04:00,108.03004440237356,108.93467231945372,104.78117027471365,105.89006805419922,190272600,0.0,0.0,110.31203918457031,111.68551330566406
2020-11-02 00:00:00-05:00,106.13321807788486,107.66038441516729,104.39205268090426,105.802490234375,122866900,0.0,0.0,109.09029998779297,110.98418197631835
2020-11-03 00:00:00-05:00,106.66822232934804,108.44829000986326,105.76359460724328,107.42694091796876,107624400,0.0,0.0,107.89190826416015,110.29646911621094
2020-11-04 00:00:00-05:00,111.02599722029116,112.43643491089767,109.28483165401832,111.81389617919922,138235500,0.0,0.0,108.62144317626954,110.10970611572266
