Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-28 00:00:00-04:00,111.87227777517529,112.17381792247089,109.70311378636897,111.82363891601562,137672400,0.0,0.0
2020-09-29 00:00:00-04:00,111.42483559860969,112.16409584063497,110.47156881534237,110.97737884521484,99382200,0.0,0.0
2020-09-30 00:00:00-04:00,110.68555737521241,114.0608892683136,110.52019713326597,112.65044403076172,142675200,0.0,0.0
2020-10-01 00:00:00-04:00,114.430522644009,114.50834184995564,112.66990578164197,113.60371398925781,116120400,0.0,0.0
2020-10-02 00:00:00-04:00,109.81013380502145,112.22247769672273,109.15841452980857,109.93658447265625,144712000,0.0,0.0
2020-10-05 00:00:00-04:00,110.80228919258478,113.46753391146844,110.4521101876222,113.32162475585938,106243800,0.0,0.0
2020-10-06 00:00:00-04:00,112.54345848013615,112.95200563980481,109.18758468115253,110.07276153564453,161498200,0.0,0.0
2020-10-07 00:00:00-04:00,111.49291934511135,112.39754721573827,111.01628226939263,111.94036865234375,96849000,0.0,0.0
2020-10-08 00:00:00-04:00,113.07844398775582,113.22435314166701,111.46372888130158,111.83336639404297,83477200,0.0,0.0
2020-10-09 00:00:00-04:00,112.13491304534423,113.80798894197643,111.7847340241306,113.77880859375,100506900,0.0,0.0
2020-10-12 00:00:00-04:00,116.78451149876966,121.76482993780782,116.02579270598136,121.00611114501953,240226800,0.0,0.0
2020-10-13 00:00:00-04:00,121.85235887523848,121.96908768608209,116.38568943923732,117.79612731933594,262330500,0.0,0.0
2020-10-14 00:00:00-04:00,117.69884824411241,119.67346409750246,116.35650041512618,117.8836669921875,150712000,0.0,0.0
2020-10-15 00:00:00-04:00,115.48104948176437,117.8933852834975,114.92660067544894,117.41675567626953,112559200,0.0,0.0
2020-10-16 00:00:00-04:00,117.97120952549623,118.23384747833158,115.56859545500912,115.77286529541016,115393800,0.0,0.0
2020-10-19 00:00:00-04:00,116.68721586654202,117.1346651236104,112.50453415677372,112.81580352783203,120639300,0.0,0.0
2020-10-20 00:00:00-04:00,113.02980416838349,115.73396585696945,112.47535532523321,114.30406951904297,124423700,0.0,0.0
2020-10-21 00:00:00-04:00,113.48697818121386,115.47132328298426,113.27297908868262,113.68152618408203,89946000,0.0,0.0
2020-10-22 00:00:00-04:00,114.24568862177946,114.81959591240101,111.46371546147097,112.59207153320312,101988000,0.0,0.0
2020-10-23 00:00:00-04:00,113.21463402999635,113.37027245377989,111.16219869915412,111.9014663696289,82572600,0.0,0.0
2020-10-26 00:00:00-04:00,110.89955881245987,113.37026292295224,109.80038294532771,111.91118621826172,111850700,0.0,0.0
2020-10-27 00:00:00-04:00,112.33918213169002,114.08034796929371,111.41510314504899,113.41889953613281,92276800,0.0,0.0
2020-10-28 00:00:00-04:00,111.91119126662696,112.28082137684017,108.06895131820131,108.16622161865234,143937800,0.0,0.0
